ID,Broker
1,SMS-SAS
2,SMS-Zerodha
3,SMS-Angel
4,SMS-5Paisa
5,SMS-Yes
6,SMS-ICICI
7,SMS-Others
8,RSS-SAS
9,RSS-Zerodha
10,RSS-5Paisa
11,RSS-ICICI
12,RSS-Others
13,HUF-SAS
14,HUF-Zerodha
15,Samrup-SAS
16,Samrup-Zerodha
17,Star-SAS
18,Star-Zerodha
19,Galaxy-Zerodha
20,Galaxy-5Paisa
21,Neptune-Zerodha
22,Neptune-5Paisa
23,MMS-IDBI
24,MMS-Centrum
25,MMS-SAS
26,MMS-Others
27,HMS-IDBI
28,HMS-Centrum
29,HMS-SAS
30,HMS-Others
31,CPM-Zerodha
32,CPM-Angel
33,PP-Zerodha
34,DHM-Angel
35,SMS-JB
36,RSS-JB
37,RSS-Incred
38,Samrup-Trading
39,Star-Trading
